PopGrowth 2015,Country Code
-3.22939712770996,AND
-1.73225600549074,PRI
-1.44908648614575,SYR
-1.2962644374484,GEO
-0.865398060317733,KSV
-0.77246822000045,LVA
-0.758848299830083,LTU
-0.638069468160719,BGR
-0.63253610615375,GRC
-0.573784691898851,VIR
-0.505203315904984,PRT
-0.454416442333512,SRB
-0.385442669322606,ROU
-0.363732732009162,UKR
-0.330505844354766,HRV
-0.322038549275343,GRL
-0.221012010422314,HUN
-0.193943202023075,EST
-0.187153386378979,BIH
-0.171543531090165,CEB
-0.155183807365525,ALB
-0.136430273792572,JPN
-0.134797807745048,ESP
-0.0632018907911471,MDA
-0.0456336867491785,FRO
-0.0322083993822133,POL
0.021292655039706,ITA
0.0866751974157249,SVN
0.0918015795998907,CUB
0.0929112635737907,MNE
0.0932264647864557,VCT
0.0996246496690594,SVK
0.132433082605329,MUS
0.136155384510631,MKD
0.147377147331107,BMU
0.179429839151125,MHL
0.187434723078851,ASM
0.192585836711792,RUS
0.197815356725798,JAM
0.232217783185864,TUV
0.238599562419068,EMU
0.245505012484433,CZE
0.260379602436529,EUU
0.286647222310592,MCO
0.294224086670115,BRB
0.30859194155559,SLV
0.310335180759131,LBY
0.31585623227295,BLR
0.344002135509452,THA
0.351449062249819,URY
0.374669477746381,FIN
0.382201749887462,KOR
0.383740746666537,ARM
0.399033641550984,FSM
0.412957182946369,TTO
0.416988960677582,GUY
0.423129431870569,NLD
0.432161961367778,ABW
0.437650811076097,ECS
0.439050831194464,PST
0.446584284295375,GRD
0.451025374832155,NRU
0.46751934888368,DMA
0.468770345078223,FRA
0.474574463380514,CHI
0.484152118345574,BEL
0.507198810167138,IRL
0.508136747291937,CHN
0.512315384705381,PRK
0.514897138213428,CSS
0.515866289174724,TEC
0.530366450974923,DEU
0.551579629983902,TON
0.558394906572076,HIC
0.574710112989708,DNK
0.575570336271582,ECA
0.586974671912263,SMR
0.597926215936269,LTE
0.626923814113042,OED
0.640395307862791,FJI
0.654933706906491,LIE
0.667919089548889,EAS
0.685211513926849,GIB
0.707922809835042,MAF
0.716282669339833,EAP
0.718308448795353,WSM
0.718837490663461,TEA
0.734587346432181,LCA
0.746685991920121,IMN
0.776450801151777,ARE
0.782182096308873,UMC
0.784422625629869,USA
0.79534616920381,NAC
0.809355272673642,GBR
0.810525812295218,AUT
0.855052949410704,BRA
0.85713096466051,MMR
0.863130607208001,CAN
0.874385786628693,SUR
0.879887992461468,HKG
0.910880195521804,COL
0.915359793226928,PLW
0.924430448672176,MLT
0.934429493640965,LKA
0.959046499435303,IBD
0.965239085818485,MNP
1.00408009198883,CYP
1.00483556535211,ATG
1.00614301302097,TUN
1.01099303655331,ARG
1.03887748603621,CHL
1.04435862742007,ISL
1.05053981933886,CRI
1.05424008112992,SWE
1.06054731963556,PYF
1.06556433167759,LCN
1.06878786563907,VNM
1.08849803042786,LAC
1.10016662822312,TLA
1.11765068272754,BHR
1.12632324522208,NIC
1.1359481678125,NOR
1.13649925715502,KNA
1.14119212921835,MIC
1.16984277070366,DOM
1.18241780790602,WLD
1.18637693749822,SGP
1.18690964931119,PSS
1.1936198767308,CHE
1.19594095694228,NPL
1.19857097212946,BGD
1.20929453040919,IND
1.21201740440396,AZE
1.21443840284205,IDN
1.21696447442037,LSO
1.22813638287184,IRN
1.24177093670876,TKM
1.27533611535545,CPV
1.27573591646497,BTN
1.2878336087206,BHS
1.29270519749327,MEX
1.29439875527159,PER
1.29698274243582,IBT
1.30358519105407,LMY
1.30657661812908,HTI
1.31304731972164,PRY
1.32504978592758,DJI
1.33459538866301,CYM
1.3362324494948,MAR
1.33682035325423,SAS
1.33682035325423,TSA
1.34061294967797,VEN
1.34230521538215,AUS
1.35756618320693,CUW
1.3785904915288,BRN
1.38817028155482,GUM
1.39731750100586,SWZ
1.41402665580307,HND
1.41933550948849,EAR
1.42452551360489,MYS
1.46142546403971,LMC
1.46240495099752,TUR
1.46357757786993,KAZ
1.50684598546934,ECU
1.52272364345652,SST
1.5298003112074,BOL
1.56200128942332,PHL
1.58034737286553,PAN
1.61630851338636,KHM
1.62781673596885,SYC
1.64800933118317,ZAF
1.66315866006289,MAC
1.67108330538337,LAO
1.67879076582663,MNG
1.74617535675042,UZB
1.75245519768136,KIR
1.7531581926435,TMN
1.75976573683807,TCA
1.76780143159441,MNA
1.78223202488417,VGB
1.80158572376028,OSS
1.84038955773973,MEA
1.84848146741032,NCL
1.86309982968956,DZA
1.88904512495193,NZL
1.89849496325766,BWA
1.97624972563395,SLB
1.97764413482271,CAF
1.9848688210912,ISR
2.01521823503817,MDV
2.023674003141,GTM
2.02999099022267,ARB
2.05038808412414,IDB
2.0607046776279,KGZ
2.06524682032879,PNG
2.07542637608567,PAK
2.09477238316221,SAU
2.1249266415864,STP
2.12989211912798,EGY
2.13259126722203,BLZ
2.1546614131996,SLE
2.20395332426966,VUT
2.20456544917822,GAB
2.21749915433637,TJK
2.22313928334425,SDN
2.24432846540346,IDA
2.30023188113604,GHA
2.30267648423617,NAM
2.3139582032656,ZWE
2.33655827586481,RWA
2.35229709287648,IDX
2.36381939469983,FCS
2.37206053904381,COM
2.372590743214,LUX
2.37794695477857,JOR
2.38884757049253,LDC
2.40200528179052,LBR
2.4041732595843,GNB
2.42751655785733,CIV
2.43726626685767,MRT
2.44670547157781,YEM
2.4771421208618,CMR
2.47736063044942,ETH
2.52866751615934,COG
2.53042496262022,SOM
2.61079241574063,KEN
2.61997410768482,BEN
2.62731342565296,TGO
2.62804435321791,NGA
2.67707221566962,GIN
2.67874104581456,TLS
2.73035118512578,LIC
2.73089671877655,SSF
2.73089671877655,TSS
2.73099895212825,SSA
2.75984136421365,MOZ
2.76323170684731,HPC
2.77665701570315,MDG
2.80298628268961,AFG
2.87217241822787,QAT
2.89346621152912,BFA
2.89452427118164,PRE
2.90246041938627,GNQ
2.92469071065949,PSE
2.95961577064923,SXM
2.9620813196841,MLI
3.06525981531419,SEN
3.06701458003165,MWI
3.07181206708305,ZMB
3.13018510197334,TZA
3.14173811307622,COD
3.20114087141111,GMB
3.20851826109354,IRQ
3.22650565731423,AGO
3.25331364537289,UGA
3.2612971383308,TCD
3.29239234674698,BDI
3.53529926683402,SSD
3.63649511704448,KWT
4.02686893114338,NER
4.16443934309681,LBN
5.83403007342777,OMN
,ERI
,INX
