Albania,3185413
Andorra,80153
Austria,8526429
Belarus,9307609
Belgium,11144420
Bosnia and Herzegovina,3824746
Bulgaria,7167998
Channel Islands,162778
Croatia,4272044
Czech Republic,10740468
Denmark,5640184
Estonia,1283771
Faeroe Islands,49460
Finland,5443497
France,64641279
Germany,82652256
Gibraltar,29335
Greece,11128404
Holy See,799
Hungary,9933173
Iceland,333135
Ireland,4677340
Isle of Man,86475
Italy,61070224
Latvia,2041111
Liechtenstein,37194
Lithuania,3008287
Luxembourg,536761
Malta,430146
Monaco,38066
Montenegro,621542
Netherlands,16802463
Norway,5091924
Poland,38220543
Portugal,10610304
Republic of Moldova,3461380
Romania,21640168
Russian Federation,142467651
San Marino,31637
Serbia,9468378
Slovakia,5454154
Slovenia,2075592
Spain,47066402
Sweden,9631261
Switzerland,8157896
Macedonia,2108434
Ukraine,44941303
United Kingdom,63489234
