Title,Ranking,Genre,Actors,Runtime
Game of Thrones,9.5,"
Adventure, Drama, Fantasy            ",,Ru
Breaking Bad,9.5,"
Crime, Drama, Thriller            ",,56
The Wire,9.4,"
Crime, Drama, Thriller            ","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey, ",49
TVF Pitchers,9.4,"
Comedy, Drama            ",,59
Rick and Morty,9.3,"
Animation, Adventure, Comedy            ",,40
Sarabhai vs Sarabhai,9.3,"
Comedy            ",,22
Sherlock,9.2,"
Crime, Drama, Mystery            ","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt, ",30
The Sopranos,9.2,"
Crime, Drama            ",,88
Avatar: The Last Airbender,9.2,"
Animation, Action, Adventure            ",,55
Leyla ile Mecnun,9.2,"
Adventure, Comedy, Drama            ",,23
Stranger Things,9.1,"
Drama, Horror, Mystery            ","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce, ",80
True Detective,9.1,"
Crime, Drama, Mystery            ",,55
Firefly,9.1,"
Adventure, Drama, Sci-Fi            ",,55
One Punch Man: Wanpanman,9.1,"
Animation, Action, Comedy            ",,44
Last Week Tonight with John Oliver,9.1,"
Comedy, News, Talk-Show            ","Naveen Kasturia, Arunabh Kumar, Jitendra Kumar, Abhay Mahajan, ",24
Hagane no renkinjutsushi,9.1,"
Animation, Action, Adventure            ",,30
Friends,9,"
Comedy, Romance            ",,24
House of Cards,9,"
Drama            ",,22
Fargo,9,"
Crime, Drama, Thriller            ","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke, ",51
Arrested Development,9,"
Comedy            ",,53
The Twilight Zone,9,"
Fantasy, Horror, Mystery            ",,22
Batman: The Animated Series,9,"
Animation, Action, Adventure            ",,51
