Monaco,"15,254"
Holy See (Vatican City),"1,914"
Malta,"1,306"
San Marino,537
Netherlands,406
Belgium,342
United Kingdom,262
Liechtenstein,233
Germany,227
Italy,205
Luxembourg,201
Switzerland,195
Andorra,183
Czech Republic,135
Denmark,129
Poland,123
Portugal,117
Slovakia,111
Hungary,107
Moldova,106
Albania,105
Turkey,104
France,103
Slovenia,98
Austria,98
Spain,94
Serbia,93
Romania,91
Greece,82
Macedonia,81
Croatia,79
Bosnia and Herzegovina,76
Ukraine,73
Ireland,69
Bulgaria,62
Lithuania,54
Montenegro,47
Belarus,46
Latvia,34
Estonia,28
Sweden,22
Norway,16
Finland,16
Iceland,3
